API,KG_category,Subject,Object,URL
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:CellularComponent,biolink:Virus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:CellularComponent,biolink:AnatomicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:CellularComponent,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:CellularComponent,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:CellularComponent,biolink:NucleicAcidEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:CellularComponent,biolink:NucleicAcidEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:has_part,biolink:CellularComponent,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:CellularComponent,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:produces,biolink:CellularComponent,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:CellularComponent,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:CellularComponent,biolink:Protein,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:CellularComponent,biolink:Protein,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:disrupted_by,biolink:CellularComponent,biolink:PathologicalProcess,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:CellularComponent,biolink:DiagnosticAid,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:CellularComponent,biolink:Cohort,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:MolecularActivity,biolink:MolecularActivity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:disrupted_by,biolink:MolecularActivity,biolink:Polypeptide,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:MolecularActivity,biolink:PhysiologicalProcess,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:MolecularActivity,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:MolecularActivity,biolink:ChemicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:disrupted_by,biolink:MolecularActivity,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:MolecularActivity,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:disrupted_by,biolink:MolecularActivity,biolink:NucleicAcidEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:disrupted_by,biolink:MolecularActivity,biolink:Protein,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:disrupted_by,biolink:MolecularActivity,biolink:DiagnosticAid,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:exacerbates_condition,biolink:SmallMolecule,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:SmallMolecule,biolink:PhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:predisposes_to_condition,biolink:SmallMolecule,biolink:PhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:SmallMolecule,biolink:CellularComponent,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:produced_by,biolink:SmallMolecule,biolink:CellularComponent,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:SmallMolecule,biolink:MolecularActivity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:preceded_by,biolink:SmallMolecule,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:SmallMolecule,biolink:AnatomicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:SmallMolecule,biolink:Polypeptide,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:produced_by,biolink:SmallMolecule,biolink:Polypeptide,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:derives_into,biolink:SmallMolecule,biolink:Polypeptide,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:located_in,biolink:SmallMolecule,biolink:Plant,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:is_input_of,biolink:SmallMolecule,biolink:Device,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:SmallMolecule,biolink:PhysiologicalProcess,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:SmallMolecule,biolink:Cell,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:produced_by,biolink:SmallMolecule,biolink:Cell,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:interacts_with,biolink:SmallMolecule,biolink:Cell,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:SmallMolecule,biolink:Virus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:treats_or_applied_or_studied_to_treat,biolink:SmallMolecule,biolink:Virus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:located_in,biolink:SmallMolecule,biolink:Virus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:preventative_for_condition,biolink:SmallMolecule,biolink:Virus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:SmallMolecule,biolink:Bacterium,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:located_in,biolink:SmallMolecule,biolink:Bacterium,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:produced_by,biolink:SmallMolecule,biolink:Bacterium,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:produced_by,biolink:SmallMolecule,biolink:PathologicalProcess,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:exacerbates_condition,biolink:SmallMolecule,biolink:PathologicalProcess,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:SmallMolecule,biolink:Fungus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:located_in,biolink:SmallMolecule,biolink:Fungus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affects,biolink:SmallMolecule,biolink:Fungus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:derives_into,biolink:SmallMolecule,biolink:NucleicAcidEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:SmallMolecule,biolink:NucleicAcidEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:produced_by,biolink:SmallMolecule,biolink:Phenomenon,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affects,biolink:SmallMolecule,biolink:DiagnosticAid,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:SmallMolecule,biolink:DiagnosticAid,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:derives_into,biolink:SmallMolecule,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:produced_by,biolink:SmallMolecule,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:preventative_for_condition,biolink:SmallMolecule,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:SmallMolecule,biolink:Cohort,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:Disease,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:contains_process,biolink:Disease,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_predisposed_by,biolink:Disease,biolink:PhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:is_diagnosed_by,biolink:Disease,biolink:PhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:exacerbates_condition,biolink:Disease,biolink:PhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:subject_of_treatment_application_or_study_for_treatment_by,biolink:Disease,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:is_diagnosed_by,biolink:Disease,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_prevented_by,biolink:Disease,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:preceded_by,biolink:Disease,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:Disease,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_predisposed_by,biolink:Disease,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_exacerbated_by,biolink:Disease,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:Disease,biolink:Polypeptide,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_predisposed_by,biolink:Disease,biolink:Polypeptide,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:subject_of_treatment_application_or_study_for_treatment_by,biolink:Disease,biolink:Polypeptide,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:disrupted_by,biolink:Disease,biolink:Polypeptide,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_prevented_by,biolink:Disease,biolink:Polypeptide,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:Disease,biolink:AnatomicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:predisposes_to_condition,biolink:Disease,biolink:PathologicalProcess,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_predisposed_by,biolink:Disease,biolink:PathologicalProcess,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:Disease,biolink:PathologicalProcess,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:preceded_by,biolink:Disease,biolink:PathologicalProcess,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:has_manifestation,biolink:Disease,biolink:PathologicalProcess,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:occurs_in,biolink:Disease,biolink:PathologicalProcess,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_predisposed_by,biolink:Disease,biolink:DiseaseOrPhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:predisposes_to_condition,biolink:Disease,biolink:DiseaseOrPhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_exacerbated_by,biolink:Disease,biolink:DiseaseOrPhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:contains_process,biolink:Disease,biolink:PhysiologicalProcess,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:Disease,biolink:Bacterium,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:occurs_in,biolink:Disease,biolink:Bacterium,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:Disease,biolink:Bacterium,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:Disease,biolink:Bacterium,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affects,biolink:Disease,biolink:Bacterium,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:Disease,biolink:Cohort,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_prevented_by,biolink:Disease,biolink:Device,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:Disease,biolink:Virus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affects,biolink:Disease,biolink:Virus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:Disease,biolink:Virus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:Disease,biolink:Virus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_predisposed_by,biolink:Disease,biolink:OrganismAttribute,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:subject_of_treatment_application_or_study_for_treatment_by,biolink:Disease,biolink:Activity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_prevented_by,biolink:Disease,biolink:Activity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_predisposed_by,biolink:Disease,biolink:Activity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:occurs_in,biolink:Disease,biolink:Plant,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:Disease,biolink:Plant,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_prevented_by,biolink:Disease,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:Disease,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:subject_of_treatment_application_or_study_for_treatment_by,biolink:Disease,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_predisposed_by,biolink:Disease,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:produces,biolink:Disease,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:disrupted_by,biolink:Disease,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:Disease,biolink:BiologicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:Disease,biolink:Fungus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:Disease,biolink:Fungus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:Disease,biolink:Fungus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affects,biolink:Disease,biolink:Fungus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:Disease,biolink:Food,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_predisposed_by,biolink:Disease,biolink:Food,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:Disease,biolink:Food,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:Disease,biolink:NucleicAcidEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:Disease,biolink:NucleicAcidEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_predisposed_by,biolink:Disease,biolink:Behavior,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:Disease,biolink:DiagnosticAid,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:subject_of_treatment_application_or_study_for_treatment_by,biolink:Disease,biolink:Drug,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:Disease,biolink:Drug,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_prevented_by,biolink:Disease,biolink:Drug,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:Disease,biolink:Drug,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:Disease,biolink:ChemicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_predisposed_by,biolink:Disease,biolink:Phenomenon,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:Disease,biolink:Phenomenon,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:Disease,biolink:Phenomenon,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:has_manifestation,biolink:Disease,biolink:Phenomenon,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:PhenotypicFeature,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:PhenotypicFeature,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:PhenotypicFeature,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_exacerbated_by,biolink:PhenotypicFeature,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:caused_by,biolink:PhenotypicFeature,biolink:PhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:is_diagnosed_by,biolink:PhenotypicFeature,biolink:PhenotypicFeature,https://bte.transltr.io/v1/query
